PC1,PC2,Cluster
4.754024624487336,10.967419994215225,Outlier
3.259325279883624,5.007290724218489,Outlier
4.9967485944904535,5.198617542827813,Outlier
6.232460074661204,3.367179624929608,Outlier
9.504156787202486,0.917666637276157,Outlier
0.2677882166696326,8.09957631351037,Outlier
19.141570540568605,6.683601869838535,Outlier
11.079678272242143,7.2995991526203605,Outlier
8.649446699685386,2.5118541200586644,Outlier
6.1995366830457295,3.0216853669014436,Outlier
-0.15805575710177172,8.24449775853662,Outlier
10.32665719149721,2.383593392043554,Outlier
1.7327996060223116,6.372778192702214,Outlier
6.037786845362182,4.857117489970532,Outlier
19.571426292783823,3.6949867844657507,Outlier
2.0274752078675653,6.126636094155806,Outlier
2.6372287396330307,6.733175805205368,Outlier
4.692569374458721,4.853678340261711,Outlier
10.089500872287337,4.335789872043244,Outlier
24.08963115806928,8.638387879604645,Outlier
16.94785484648132,2.697356954228749,Outlier
11.026656227601514,1.078642827634766,Outlier
0.553893598225276,7.920990112818019,Outlier
-2.522192916772277,10.2497250861856,Outlier
29.425201791461877,8.631744441552215,Outlier
7.591966468731143,4.806174877358699,Outlier
17.218525312406566,2.234247751437882,Outlier
9.366562340299707,2.401366501519118,Outlier
4.789839685247398,10.120409186494559,Outlier
9.84531372330436,-0.39716033843387627,Outlier
6.853066441294688,3.6313047161514036,Outlier
7.769246149464887,0.6359535052144805,Outlier
3.4592906924021296,7.076927362543628,Outlier
7.012510804804214,3.2396506189319823,Outlier
14.17442430101187,0.0011890361641912239,Outlier
11.089996075023189,1.9268084333950293,Outlier
6.07531215760584,7.344402313733765,Outlier
5.660637689631787,4.717645217506486,Outlier
9.954048422430189,5.397648669253714,Outlier
-1.635576112322647,8.901028769601648,Outlier
3.8546405710601537,9.590398461777392,Outlier
11.248453066514262,8.599492856835992,Outlier
1.064764142455172,13.736377893991467,Outlier
14.469857910001844,1.7921124635770038,Outlier
17.980775377405585,3.239933086543902,Outlier
2.0176392976149025,9.39531726950859,Outlier
6.418716891863584,12.49206609989544,Outlier
16.678508582106033,1.7804843567737763,Outlier
0.5488544108018595,8.373602275715074,Outlier
29.605641518384346,3.541055213372172,Outlier
9.100998712740513,0.29921168098429696,Outlier
14.625419348537786,3.9617405323694985,Outlier
13.012344561341015,3.315422875832304,Outlier
7.958469877466739,3.9719934565175503,Outlier
17.35204018226605,4.289394644147543,Outlier
25.02427558926582,4.2554815256083245,Outlier
3.427329475235734,5.318972839990666,Outlier
19.526510339306835,2.002710831977038,Outlier
4.85350652873025,3.412949559921025,Outlier
1.929710538360647,9.31021556312123,Outlier
9.146862726302224,3.011558825943302,Outlier
10.455114783440925,0.6713152776358917,Outlier
7.74000095438953,1.6071134055285117,Outlier
-1.2080464689470847,8.967429991653344,Outlier
6.215310876532301,5.014751166115914,Outlier
7.36952166072727,4.249988482468327,Outlier
-0.433377798772351,9.444631116688635,Outlier
6.208200118330877,8.749000434413333,Outlier
3.514841708576819,5.901736074118457,Outlier
12.101879314168242,-0.13180900542559384,Outlier
9.588304379815506,1.065889940842176,Outlier
3.8844303836269187,4.994758782968366,Outlier
3.2170081020122865,25.383906915856674,Outlier
-0.4649623763258858,10.817867381494574,Outlier
1.0316510387011046,7.307017414141262,Outlier
5.21972838871152,6.951744068268747,Outlier
0.5404247572086817,11.523426675316491,Outlier
2.4418471278759615,7.039308880424083,Outlier
15.908734158271152,3.2773951960711436,Outlier
14.178577023984014,3.32401297873585,Outlier
-2.5579713863969715,5.022326881922321,Outlier
9.599693393647868,2.500352623105615,Outlier
15.878653864402972,3.747345137629673,Outlier
-1.3086201139396487,9.502493973766047,Outlier
3.7497015794384834,5.66394777306433,Outlier
-2.370391750198027,11.536748755265481,Outlier
1.270601063924075,8.91552264055292,Outlier
-0.896643731880902,8.379764220289193,Outlier
15.232802619056834,2.9575712320062184,Outlier
18.455552180992086,2.587737126255745,Outlier
10.892382788130977,0.5670478996894188,Outlier
4.284459357627196,4.545012977387631,Outlier
9.632729863009612,1.6423964909445807,Outlier
6.0846148905826976,14.037799544309069,Outlier
2.067676063610281,6.5635554040639805,Outlier
23.954522848234483,3.313750769421883,Outlier
4.138081002854349,6.675842631300025,Outlier
8.721239723711262,2.797108391145123,Outlier
-0.902116861066134,8.174052557435452,Outlier
6.381723037508616,3.941487164740696,Outlier
11.034018281625205,5.5933188086362655,Outlier
14.324657658403325,0.6515487530204452,Outlier
7.813550375324393,6.3614386228809305,Outlier
-0.2815150274314417,8.709495117533368,Outlier
3.989182372714807,7.828272670007623,Outlier
13.529614577603976,10.338177343811232,Outlier
9.098357379099795,1.2505261153037037,Outlier
-0.47318260966254533,8.80039395682966,Outlier
6.012952502708133,4.806092094452505,Outlier
2.4304771332709216,5.7843265049274795,Outlier
9.751847917250663,-0.2662235260087099,Outlier
3.6984551206107668,6.684647949398507,Outlier
13.889079357633303,1.6210949055780037,Outlier
2.1205103140224373,6.239743824696902,Outlier
-1.1569853219911792,12.122707289975027,Outlier
-0.9834555588749346,10.95872391046696,Outlier
12.046667843975843,13.33951307603173,Outlier
2.0135680239164184,7.890651103987891,Outlier
10.700161369337106,0.2881885384991374,Outlier
4.396210264518342,3.7321626235266865,Outlier
3.502584083450528,6.227533955891563,Outlier
9.260303343040516,0.3110614786262408,Outlier
7.428087648093217,6.09143351437905,Outlier
1.7308179388357086,9.508389731089908,Outlier
1.4625784434423548,9.793941307687938,Outlier
4.963666728212993,3.109355822123943,Outlier
7.240476900652539,3.6775496621466894,Outlier
15.588838157265618,5.662370357729463,Outlier
